Rank,Country,Port_Name,TEU_2020_M,TEU_2021_M,TEU_2022_M,TEU_2023_M,TEU_2024_M_est,Monthly_Local_Wage_USD,Median_Home_Value_USD,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_23,CAGR,Growth_21_20,Growth_22_21,Growth_23_22,Growth_24_22,TEU_CAGR_2020_2024_%,Growth_21_M,Growth_22_M,Growth_23_M,Growth__est,Cluster,PCA1,PCA2,Outlier,TEU_Trend_Slope,Trend_Type
23,Indonesia,Tanjung Priok,3.6,3.9,3.97,4.1,4.3,400,100000.0,0.08333333333333329,0.017948717948718024,0.03274559193954646,0.0487804878048781,0.045421647335179394,8.333333333333329,1.7948717948718023,3.274559193954646,4.87804878048781,4.542164733517939,0.08333333333333329,0.017948717948718024,0.03274559193954646,0.0487804878048781,0,-1.1460573001141328,-0.9228344315838192,Inlier,0.1599999999999826,Flat
24,USA,New York/New Jersey,7.59,9.0,9.49,7.81,8.7,6000,674500.0,0.1857707509881423,0.05444444444444447,-0.1770284510010538,0.11395646606914209,0.034711722114907806,18.57707509881423,5.444444444444447,-17.702845100105378,11.395646606914209,3.4711722114907806,0.1857707509881423,0.05444444444444447,-0.1770284510010538,0.11395646606914209,2,0.8828373527787872,2.792050923272428,Inlier,0.1030000000000772,Flat
25,Sri Lanka,Colombo,6.86,7.3,6.86,6.94,7.2,155,75000.0,0.06413994169096203,-0.06027397260273966,0.011661807580174937,0.03746397694524493,0.012166816855682994,6.413994169096203,-6.027397260273966,1.1661807580174937,3.7463976945244926,1.2166816855682994,0.06413994169096203,-0.06027397260273966,0.011661807580174937,0.03746397694524493,0,-0.3641036289648787,-0.9961654626653622,Inlier,0.031999999999996295,Flat
26,Vietnam,Ho Chi Minh City,7.85,8.0,7.91,7.4,7.5,420,100000.0,0.019108280254777118,-0.011249999999999982,-0.06447534766118834,0.013513513513513466,-0.011337864244507445,1.9108280254777117,-1.1249999999999982,-6.447534766118834,1.3513513513513467,-1.1337864244507445,0.019108280254777118,-0.011249999999999982,-0.06447534766118834,0.013513513513513466,0,-0.11668254316509123,-0.6630088052520492,Inlier,-0.1299999999999655,Declining
28,Greece,Piraeus,5.44,5.31,5.0,5.1,5.3,1200,250000.0,-0.023897058823529552,-0.05838041431261763,0.019999999999999928,0.03921568627450984,-0.006496863602160952,-2.3897058823529553,-5.838041431261763,1.9999999999999927,3.921568627450984,-0.6496863602160952,-0.023897058823529552,-0.05838041431261763,0.019999999999999928,0.03921568627450984,0,-0.5847151231799441,0.141851636361041,Inlier,-0.04900000000001305,Declining
29,China,Yingkou,6.5,5.48,5.67,5.21,5.3,700,100000.0,-0.15692307692307686,0.03467153284671524,-0.08112874779541446,0.017274472168905923,-0.049743982972388245,-15.692307692307686,3.467153284671524,-8.112874779541446,1.7274472168905923,-4.9743982972388245,-0.15692307692307686,0.03467153284671524,-0.08112874779541446,0.017274472168905923,0,-0.5851542404651239,-0.09653453860781142,Inlier,-0.26699999999999086,Declining
30,Spain,Valencia,5.43,5.6,5.05,4.8,4.9,2200,300000.0,0.03130755064456721,-0.09821428571428568,-0.04950495049504951,0.020833333333333447,-0.025349157334139005,3.130755064456721,-9.821428571428568,-4.9504950495049505,2.0833333333333446,-2.5349157334139005,0.03130755064456721,-0.09821428571428568,-0.04950495049504951,0.020833333333333447,0,-0.46910599653302587,0.8775949525511142,Inlier,-0.1859999999999731,Declining
31,Morocco,Tangier-Med,5.77,7.17,7.6,8.62,9.2,400,100000.0,0.24263431542461014,0.05997210599721056,0.13421052631578942,0.06728538283062646,0.12370678599088292,24.263431542461014,5.997210599721056,13.421052631578942,6.728538283062646,12.370678599088292,0.24263431542461014,0.05997210599721056,0.13421052631578942,0.06728538283062646,3,-0.3067231726756432,-1.7885484650322478,Inlier,0.8309999999999077,Moderate Growth
32,India,Mundra,5.66,6.5,6.66,6.5,6.8,200,50000.0,0.14840989399293283,0.024615384615384636,-0.024024024024024045,0.04615384615384613,0.046943199804972746,14.840989399293283,2.4615384615384635,-2.4024024024024047,4.615384615384613,4.694319980497275,0.14840989399293283,0.024615384615384636,-0.024024024024024045,0.04615384615384613,0,-0.5797597420099062,-1.284252207913613,Inlier,0.22800000000000276,Flat
33,USA,Savannah,4.6,4.68,5.61,5.89,6.0,4000,250000.0,0.017391304347826105,0.19871794871794887,0.04991087344028509,0.018675721561969495,0.06868165579854568,1.7391304347826104,19.871794871794886,4.991087344028509,1.8675721561969494,6.868165579854568,0.017391304347826105,0.19871794871794887,0.04991087344028509,0.018675721561969495,3,-0.45169667023200205,0.8030731913109325,Inlier,0.4009999999999552,Flat
34,Vietnam,Hai Phong,5.13,5.14,5.7,5.63,5.7,380,70000.0,0.0019493177387913815,0.10894941634241255,-0.012280701754386015,0.012433392539964526,0.026690096080340897,0.19493177387913815,10.894941634241254,-1.2280701754386014,1.2433392539964525,2.6690096080340897,0.0019493177387913815,0.10894941634241255,-0.012280701754386015,0.012433392539964526,0,-0.7716674863411925,-0.9339274878520583,Inlier,0.16299999999998893,Flat
35,China,Rizhao,4.5,4.86,5.17,5.8,6.0,600,80000.0,0.08000000000000007,0.06378600823045259,0.12185686653771759,0.03448275862068969,0.07456993182354199,8.000000000000007,6.378600823045259,12.185686653771759,3.448275862068969,7.456993182354199,0.08000000000000007,0.06378600823045259,0.12185686653771759,0.03448275862068969,0,-0.8570064188795649,-1.1936369226361192,Inlier,0.3939999999999435,Flat
36,Spain,Algeciras,5.13,5.11,4.8,4.77,4.8,1800,200000.0,-0.003898635477582763,-0.06066536203522514,-0.006250000000000052,0.006289308176100681,-0.016485044946774163,-0.3898635477582763,-6.0665362035225145,-0.6250000000000052,0.6289308176100681,-1.6485044946774163,-0.003898635477582763,-0.06066536203522514,-0.006250000000000052,0.006289308176100681,0,-0.6496835122306144,0.4050817373611384,Inlier,-0.09999999999999344,Declining
37,China,Lianyungang,4.78,4.8,5.09,5.57,5.6,700,60000.0,0.004184100418409952,0.060416666666666674,0.094302554027505,0.005385996409335612,0.040375299342265025,0.41841004184099523,6.041666666666668,9.4302554027505,0.5385996409335612,4.0375299342265025,0.004184100418409952,0.060416666666666674,0.094302554027505,0.005385996409335612,0,-0.849108806117167,-0.905571230593937,Inlier,0.2409999999999589,Flat
38,Germany,Bremerhaven,4.86,4.77,5.02,4.57,4.8,2500,250000.0,-0.01851851851851867,0.052410901467505246,-0.08964143426294807,0.050328227571115866,-0.003100812519186369,-1.851851851851867,5.241090146750524,-8.964143426294807,5.032822757111586,-0.3100812519186369,-0.01851851851851867,0.052410901467505246,-0.08964143426294807,0.050328227571115866,0,-0.6066862595901962,0.7380483823055731,Inlier,-0.03199999999998819,Declining
39,Brazil,Santos,4.17,4.23,4.83,4.99,5.1,800,150000.0,0.014388489208633212,0.14184397163120557,0.03312629399585924,0.022044088176352592,0.051619257187307976,1.4388489208633213,14.184397163120558,3.312629399585924,2.2044088176352594,5.161925718730798,0.014388489208633212,0.14184397163120557,0.03312629399585924,0.022044088176352592,0,-0.9104569358651157,-0.7175021248426443,Inlier,0.2619999999999703,Flat
40,Saudi Arabia,Jeddah,4.43,4.74,4.88,4.96,5.0,1600,200000.0,0.06997742663656896,0.029535864978902884,0.016393442622950834,0.008064516129032265,0.030722056219977256,6.997742663656896,2.9535864978902886,1.6393442622950833,0.8064516129032264,3.0722056219977256,0.06997742663656896,0.029535864978902884,0.016393442622950834,0.008064516129032265,0,-0.7527045828751094,-0.06985249016141239,Inlier,0.13599999999999365,Flat
41,China,Qinzhou,2.58,3.95,4.63,5.41,6.0,500,50000.0,0.5310077519379846,0.17215189873417713,0.1684665226781858,0.10905730129390015,0.23490311495519633,53.100775193798455,17.215189873417714,16.84665226781858,10.905730129390015,23.490311495519634,0.5310077519379846,0.17215189873417713,0.1684665226781858,0.10905730129390015,3,-1.2718896054672684,-2.580892747871223,Inlier,0.8299999999999181,Moderate Growth
42,Oman,Salalah,4.11,4.34,4.51,4.5,4.6,1000,120000.0,0.05596107055961059,0.03917050691244238,-0.0022172949002216822,0.022222222222222143,0.02855851162628098,5.596107055961059,3.917050691244238,-0.2217294900221682,2.2222222222222143,2.855851162628098,0.05596107055961059,0.03917050691244238,-0.0022172949002216822,0.022222222222222143,0,-0.9561197709024669,-0.4876939472972369,Inlier,0.11399999999999466,Flat
43,Panama,Colón,4.38,4.45,4.92,5.1,5.3,800,60000.0,0.015981735159817417,0.10561797752808982,0.03658536585365848,0.03921568627450984,0.04881874282661314,1.5981735159817416,10.561797752808982,3.658536585365848,3.921568627450984,4.881874282661314,0.015981735159817417,0.10561797752808982,0.03658536585365848,0.03921568627450984,0,-0.9380497211268672,-0.9086932436723163,Inlier,0.24899999999996716,Flat
44,Philippines,Manila,5.32,4.44,4.98,5.47,5.5,500,100000.0,-0.16541353383458643,0.12162162162162161,0.0983935742971886,0.0054844606946984,0.008353393726121539,-16.54135338345864,12.162162162162161,9.839357429718861,0.5484460694698401,0.8353393726121539,-0.16541353383458643,0.12162162162162161,0.0983935742971886,0.0054844606946984,0,-0.7981362512404536,-0.6424471500605292,Inlier,0.13899999999994053,Flat
45,Vietnam,Cai Mep (Vũng Tàu),3.74,4.41,5.39,5.59,5.8,400,50000.0,0.17914438502673793,0.2222222222222221,0.03710575139146571,0.03756708407871198,0.11593551109410027,17.914438502673793,22.22222222222221,3.710575139146571,3.7567084078711983,11.593551109410027,0.17914438502673793,0.2222222222222221,0.03710575139146571,0.03756708407871198,3,-1.0165314096743714,-1.6778483804982252,Inlier,0.5299999999999625,Moderate Growth
46,Egypt,Port Said,3.82,4.01,4.77,4.25,4.5,200,50000.0,0.04973821989528795,0.18952618453865333,-0.10901467505241082,0.058823529411764705,0.04180703968567645,4.973821989528795,18.952618453865334,-10.901467505241081,5.88235294117647,4.180703968567645,0.04973821989528795,0.18952618453865333,-0.10901467505241082,0.058823529411764705,0,-1.1209480819025037,-1.1163093172528316,Inlier,0.16000000000000875,Flat
47,Canada,Vancouver,3.49,3.7,3.55,3.12,3.3,3500,1200000.0,0.06017191977077362,-0.04054054054054063,-0.1211267605633802,0.0576923076923076,-0.013897344716693238,6.0171919770773625,-4.054054054054063,-12.112676056338021,5.769230769230759,-1.3897344716693238,0.06017191977077362,-0.04054054054054063,-0.1211267605633802,0.0576923076923076,2,-0.09964929274461311,3.5293717460318828,Inlier,-0.09599999999997375,Declining
48,UK,Felixstowe,3.78,4.0,3.5,3.25,3.5,2800,300000.0,0.05820105820105825,-0.125,-0.07142857142857142,0.07692307692307693,-0.01905634787242938,5.820105820105825,-12.5,-7.142857142857142,7.6923076923076925,-1.905634787242938,0.05820105820105825,-0.125,-0.07142857142857142,0.07692307692307693,0,-0.8304845254716315,1.1919846124571487,Inlier,-0.13099999999998216,Declining
49,China,Fuzhou,3.0,3.6,4.0,4.3,4.5,800,100000.0,0.20000000000000004,0.11111111111111108,0.07499999999999996,0.046511627906976785,0.1066819197003217,20.000000000000004,11.111111111111107,7.499999999999996,4.651162790697678,10.668191970032147,0.20000000000000004,0.11111111111111108,0.07499999999999996,0.046511627906976785,3,-1.2161653306003426,-1.2370243244826857,Inlier,0.36999999999996797,Flat
50,UAE,Abu Dhabi,2.78,3.22,3.44,4.33,4.6,3000,500000.0,0.15827338129496418,0.06832298136645955,0.25872093023255816,0.06235565819861422,0.134170270002403,15.827338129496418,6.832298136645955,25.872093023255815,6.235565819861422,13.4170270002403,0.15827338129496418,0.06832298136645955,0.25872093023255816,0.06235565819861422,3,-0.8229737526374274,0.4724524066415883,Inlier,0.47499999999992476,Flat
51,China,Yantai,3.1,3.3,3.65,4.12,4.4,700,60000.0,0.06451612903225798,0.10606060606060609,0.1287671232876713,0.06796116504854374,0.09149750085034136,6.451612903225798,10.606060606060609,12.876712328767129,6.796116504854374,9.149750085034135,0.06451612903225798,0.10606060606060609,0.1287671232876713,0.06796116504854374,3,-1.279992284043485,-1.240182796284869,Inlier,0.34199999999994735,Flat
52,USA,Houston,2.99,3.0,3.45,3.97,4.2,4500,280000.0,0.003344481605351099,0.15000000000000005,0.15072463768115943,0.0579345088161209,0.08866566356042838,0.3344481605351099,15.000000000000005,15.072463768115943,5.79345088161209,8.866566356042838,0.003344481605351099,0.15000000000000005,0.15072463768115943,0.0579345088161209,3,-0.8814086604473058,1.0462599681337736,Inlier,0.3389999999999419,Flat
53,Indonesia,Tanjung Perak (Surabaya),3.6,3.6,3.9,3.97,4.1,300,80000.0,0.0,0.08333333333333329,0.017948717948718024,0.03274559193954646,0.033047614055361274,0.0,8.333333333333329,1.7948717948718023,3.274559193954646,3.3047614055361274,0.0,0.08333333333333329,0.017948717948718024,0.03274559193954646,0,-1.190216437791441,-0.9050513830659929,Inlier,0.1369999999999814,Flat
55,Japan,Yokohama,2.7,2.9,3.3,3.6,3.8,2800,400000.0,0.07407407407407397,0.1379310344827586,0.090909090909091,0.05555555555555548,0.0891932923055847,7.407407407407398,13.79310344827586,9.090909090909099,5.555555555555548,8.919329230558471,0.07407407407407397,0.1379310344827586,0.090909090909091,0.05555555555555548,3,-0.9687213574599841,0.547501779830344,Inlier,0.2899999999999624,Flat
56,Mexico,Manzanillo,3.2,3.37,3.47,3.5,3.6,600,60000.0,0.05312499999999998,0.029673590504451064,0.008645533141210318,0.0285714285714286,0.02988357195355884,5.312499999999998,2.9673590504451064,0.8645533141210318,2.85714285714286,2.988357195355884,0.05312499999999998,0.029673590504451064,0.008645533141210318,0.0285714285714286,0,-1.2846748622613395,-0.7619167130853598,Inlier,0.09299999999999271,Flat
57,Italy,Gioia Tauro,3.0,2.8,3.2,3.54,3.6,1200,100000.0,-0.06666666666666672,0.142857142857143,0.10624999999999996,0.016949152542372895,0.04663513939210562,-6.666666666666672,14.285714285714299,10.624999999999996,1.6949152542372896,4.663513939210562,-0.06666666666666672,0.142857142857143,0.10624999999999996,0.016949152542372895,0,-1.2820781759737152,-0.521734130670495,Inlier,0.19399999999996173,Flat
59,Spain,Barcelona,3.0,3.53,3.53,3.7,3.89,2000,400000.0,0.1766666666666666,0.0,0.048158640226629,0.05135135135135133,0.06710483248019328,17.66666666666666,0.0,4.8158640226629,5.135135135135133,6.710483248019328,0.1766666666666666,0.0,0.048158640226629,0.05135135135135133,3,-0.9288871577791138,0.3454109860766765,Inlier,0.19499999999998516,Flat
61,China,Tangshan,3.12,3.293,3.343,3.5,3.6,810,110000.0,0.05544871794871796,0.015183723048891533,0.04696380496559977,0.0285714285714286,0.03642284375593974,5.544871794871796,1.5183723048891533,4.696380496559978,2.85714285714286,3.6422843755939738,0.05544871794871796,0.015183723048891533,0.04696380496559977,0.0285714285714286,0,-1.2517329117278577,-0.601940013984951,Inlier,0.11669999999998511,Flat
62,Australia,Melbourne,2.995,3.279,3.3,3.3,3.35,4350,580000.0,0.09482470784641062,0.006404391582799606,0.0,0.015151515151515233,0.02839982739108904,9.482470784641063,0.6404391582799606,0.0,1.5151515151515234,2.839982739108904,0.09482470784641062,0.006404391582799606,0.0,0.015151515151515233,2,-0.6444434578423686,2.17294285298309,Inlier,0.07310000000000069,Flat
64,United Kingdom,London,2.772,3.111,3.211,3.25,3.3,4050,870000.0,0.12229437229437246,0.03214400514304071,0.012145748987854296,0.01538461538461533,0.04455227307203824,12.229437229437245,3.214400514304071,1.2145748987854297,1.538461538461533,4.455227307203824,0.12229437229437246,0.03214400514304071,0.012145748987854296,0.01538461538461533,2,-0.47812843913733094,2.5683364022282933,Inlier,0.11949999999999703,Flat
65,China,Nanjing,3.02,3.11,3.2,3.25,3.3,1250,340000.0,0.029801324503311213,0.028938906752411675,0.015624999999999944,0.01538461538461533,0.022413909468615545,2.980132450331121,2.8938906752411677,1.5624999999999944,1.538461538461533,2.2413909468615545,0.029801324503311213,0.028938906752411675,0.015624999999999944,0.01538461538461533,0,-1.0665576324250392,0.25066659280522835,Inlier,0.06999999999999319,Flat
66,South Korea,Incheon,3.272,3.354,3.146,3.2,3.25,2200,300000.0,0.02506112469437662,-0.06201550387596905,0.01716465352828998,0.015624999999999944,-0.0016851840797825757,2.506112469437662,-6.201550387596905,1.716465352828998,1.5624999999999944,-0.16851840797825757,0.02506112469437662,-0.06201550387596905,0.01716465352828998,0.015624999999999944,0,-0.9862785569676624,0.7921269775241313,Inlier,-0.019800000000000775,Declining
67,Bangladesh,Chittagong,2.84,3.215,3.142,3.2,3.25,300,60000.0,0.13204225352112678,-0.02270606531881803,0.018459579885423384,0.015624999999999944,0.03428745054241533,13.204225352112678,-2.270606531881803,1.8459579885423385,1.5624999999999944,3.428745054241533,0.13204225352112678,-0.02270606531881803,0.018459579885423384,0.015624999999999944,0,-1.3865763496880588,-0.9185274907310162,Inlier,0.08050000000000004,Flat
68,Colombia,Cartagena,3.128,3.359,3.141,3.299,3.45,480,80000.0,0.07384910485933499,-0.06490026793688597,0.050302451448583224,0.04577144589269483,0.02479757172868413,7.384910485933499,-6.490026793688597,5.0302451448583225,4.577144589269483,2.479757172868413,0.07384910485933499,-0.06490026793688597,0.050302451448583224,0.04577144589269483,0,-1.3092787139801965,-0.7206512877378491,Inlier,0.05839999999998885,Flat
69,France,Le Havre,2.417,3.019,3.1,2.95,3.0,2500,250000.0,0.2490690939180804,0.02683007618416693,-0.04838709677419352,0.01694915254237282,0.05550708077209321,24.906909391808043,2.683007618416693,-4.838709677419352,1.6949152542372818,5.550708077209321,0.2490690939180804,0.02683007618416693,-0.04838709677419352,0.01694915254237282,3,-1.1624687851876832,0.36774703337956355,Inlier,0.1097000000000143,Flat
71,Saudi Arabia,King Abdullah Port,2.154,2.814,2.905,3.25,3.5,2000,150000.0,0.3064066852367689,0.03233830845771135,0.11876075731497426,0.07692307692307693,0.12903027146177637,30.64066852367689,3.233830845771135,11.876075731497426,7.6923076923076925,12.903027146177637,0.3064066852367689,0.03233830845771135,0.11876075731497426,0.07692307692307693,3,-1.3597101465425765,-0.6959938946702228,Inlier,0.31279999999996944,Flat
72,Japan,Kobe,2.647,2.872,2.891,2.9,3.0,2800,300000.0,0.08500188893086517,0.006615598885793917,0.003113109650639881,0.03448275862068969,0.03179122099529241,8.500188893086518,0.6615598885793916,0.3113109650639881,3.448275862068969,3.1791220995292413,0.08500188893086517,0.006615598885793917,0.003113109650639881,0.03448275862068969,0,-1.0819048969899294,0.8159567388075208,Inlier,0.07339999999999684,Flat
